stall_name,type_of_shop,latitude,longitude,closing_time,day_of_week,weather,holiday_flag,leftovers_servings
stall_181,beverage_stall,1.20813,103.8571,20,Thursday,sunny,1,7.3
stall_178,dim_sum_stall,1.34022,103.65105,22,Monday,sunny,0,16.6
stall_84,fishball_noodle_stall,1.46968,103.68403,20,Wednesday,rainy,0,24.6
stall_96,chicken_rice_stall,1.46165,103.94344,23,Tuesday,sunny,0,18.7
stall_136,dessert_stall,1.25974,103.60977,23,Friday,cloudy,0,22.2
stall_47,chicken_rice_stall,1.46709,103.69849,21,Tuesday,sunny,0,15.8
stall_157,dim_sum_stall,1.42974,103.80852,23,Friday,cloudy,0,27.3
stall_62,fried_hokkien_mee_stall,1.3835,103.99489,23,Friday,sunny,0,16.3
stall_60,bakery,1.31086,103.6631,23,Saturday,rainy,0,19.5
stall_118,economic_rice_stall,1.29417,103.93921,22,Saturday,sunny,0,26.3
stall_120,roti_prata_stall,1.29279,103.76336,22,Saturday,cloudy,0,10.6
stall_41,roti_prata_stall,1.21715,103.83367,20,Thursday,rainy,0,22.8
stall_151,fried_hokkien_mee_stall,1.46743,103.84506,22,Saturday,rainy,0,20.5
stall_177,beverage_stall,1.3213,103.66602,22,Thursday,rainy,1,24.3
stall_51,roti_prata_stall,1.26128,103.88648,23,Sunday,rainy,0,23.7
stall_28,dim_sum_stall,1.49978,103.93441,21,Thursday,cloudy,0,18.0
stall_92,laksa_stall,1.29966,103.97233,22,Saturday,rainy,0,27.9
stall_6,western_food_stall,1.2363,103.68988,23,Wednesday,sunny,0,26.8
stall_145,chicken_rice_stall,1.25277,103.98319,20,Friday,cloudy,0,22.0
stall_128,bakery,1.39641,103.786,22,Sunday,sunny,0,14.8
stall_156,fishball_noodle_stall,1.27417,103.85506,22,Tuesday,cloudy,0,20.1
stall_49,laksa_stall,1.32577,103.83347,22,Saturday,cloudy,0,18.5
stall_197,fishball_noodle_stall,1.25034,103.8429,21,Saturday,sunny,0,12.3
stall_161,fishball_noodle_stall,1.36205,103.65535,20,Wednesday,rainy,0,18.9
stall_9,fried_hokkien_mee_stall,1.2213,103.85244,22,Saturday,sunny,0,22.6
stall_24,fried_hokkien_mee_stall,1.32656,103.71142,22,Wednesday,cloudy,0,16.0
stall_107,fried_hokkien_mee_stall,1.48876,103.70619,21,Tuesday,sunny,0,11.0
stall_139,roti_prata_stall,1.32433,103.85191,22,Friday,cloudy,1,28.9
stall_70,dim_sum_stall,1.39027,103.70559,21,Wednesday,rainy,0,28.0
stall_76,western_food_stall,1.42237,103.82067,22,Sunday,sunny,0,14.9
stall_120,roti_prata_stall,1.29279,103.76336,20,Tuesday,sunny,0,7.6
stall_174,laksa_stall,1.26616,103.68777,23,Sunday,cloudy,1,30.9
stall_94,fried_hokkien_mee_stall,1.44322,103.70672,20,Sunday,rainy,1,27.8
stall_4,economic_rice_stall,1.49854,103.85995,22,Friday,sunny,0,21.4
stall_117,laksa_stall,1.39927,103.73208,22,Saturday,cloudy,0,21.7
stall_173,laksa_stall,1.36384,103.8413,22,Friday,rainy,0,24.6
stall_164,fried_hokkien_mee_stall,1.32228,103.81704,22,Monday,cloudy,1,28.0
stall_60,bakery,1.31086,103.6631,23,Monday,cloudy,0,21.5
stall_144,laksa_stall,1.23198,103.77006,22,Friday,sunny,0,8.2
stall_166,fried_hokkien_mee_stall,1.32604,103.96194,20,Saturday,rainy,0,27.0
stall_180,bakery,1.31821,103.82576,22,Saturday,rainy,1,40.3
stall_30,economic_rice_stall,1.45461,103.66652,21,Monday,sunny,0,35.7
stall_78,economic_rice_stall,1.22257,103.95324,23,Monday,sunny,0,26.9
stall_61,chicken_rice_stall,1.45012,103.88142,21,Thursday,rainy,0,24.1
stall_95,beverage_stall,1.43621,103.64324,23,Friday,cloudy,0,17.9
stall_187,bakery,1.27568,103.63276,21,Thursday,cloudy,0,13.1
stall_26,roti_prata_stall,1.33294,103.94454,23,Friday,rainy,0,19.8
stall_72,beverage_stall,1.45383,103.63692,20,Saturday,rainy,0,23.1
stall_56,dessert_stall,1.49954,103.99844,23,Thursday,sunny,0,8.7
stall_93,western_food_stall,1.44067,103.94563,20,Saturday,rainy,0,45.6
stall_140,dessert_stall,1.25833,103.87854,22,Monday,rainy,0,10.3
stall_71,fried_hokkien_mee_stall,1.34656,103.96213,21,Monday,rainy,0,19.5
stall_24,fried_hokkien_mee_stall,1.32656,103.71142,21,Saturday,cloudy,0,24.2
stall_153,bakery,1.44917,103.81915,20,Monday,rainy,0,17.7
stall_63,western_food_stall,1.39619,103.60313,21,Sunday,cloudy,0,34.6
stall_53,laksa_stall,1.40151,103.72,20,Sunday,cloudy,0,25.2
stall_54,economic_rice_stall,1.29485,103.90075,21,Sunday,sunny,0,18.4
stall_85,laksa_stall,1.27486,103.64112,21,Sunday,cloudy,0,22.5
stall_1,fried_hokkien_mee_stall,1.32694,103.68472,22,Sunday,sunny,0,0.0
stall_34,beverage_stall,1.27956,103.91363,22,Sunday,sunny,0,0.0
stall_29,dessert_stall,1.4907,103.97055,20,Tuesday,sunny,0,10.1
stall_92,laksa_stall,1.29966,103.97233,21,Friday,rainy,0,30.0
stall_5,western_food_stall,1.33143,103.80703,21,Wednesday,sunny,0,18.0
stall_33,roti_prata_stall,1.31369,103.99412,23,Friday,sunny,0,11.1
stall_191,laksa_stall,1.39553,103.90169,20,Thursday,rainy,0,26.9
stall_200,dessert_stall,1.23243,103.61027,22,Friday,cloudy,0,16.1
stall_28,dim_sum_stall,1.49978,103.93441,23,Friday,sunny,0,17.4
stall_158,chicken_rice_stall,1.38802,103.70984,20,Saturday,cloudy,1,28.0
stall_134,fried_hokkien_mee_stall,1.44553,103.90046,22,Thursday,cloudy,0,18.8
stall_8,bakery,1.26903,103.68809,20,Thursday,rainy,0,27.7
stall_110,fried_hokkien_mee_stall,1.38186,103.80457,20,Thursday,cloudy,0,25.4
stall_114,fishball_noodle_stall,1.36154,103.88777,20,Monday,rainy,0,26.4
stall_156,fishball_noodle_stall,1.27417,103.85506,21,Monday,sunny,0,17.1
stall_71,fried_hokkien_mee_stall,1.34656,103.96213,22,Thursday,cloudy,0,19.0
stall_136,dessert_stall,1.25974,103.60977,22,Thursday,cloudy,1,26.1
stall_155,roti_prata_stall,1.3424,103.70368,23,Monday,cloudy,0,13.5
stall_30,economic_rice_stall,1.45461,103.66652,21,Thursday,rainy,1,51.5
stall_59,western_food_stall,1.46426,103.95171,23,Wednesday,rainy,0,30.5
stall_103,western_food_stall,1.39244,103.75987,23,Saturday,sunny,0,23.3
stall_81,bakery,1.24443,103.65098,23,Wednesday,cloudy,1,36.7
stall_66,western_food_stall,1.24029,103.64617,22,Tuesday,cloudy,0,17.6
stall_122,roti_prata_stall,1.23819,103.76818,20,Monday,sunny,0,17.2
stall_24,fried_hokkien_mee_stall,1.32656,103.71142,23,Monday,cloudy,0,18.1
stall_190,bakery,1.39504,103.91249,22,Sunday,sunny,0,5.0
stall_143,economic_rice_stall,1.42529,103.90802,20,Friday,cloudy,0,25.3
stall_144,laksa_stall,1.23198,103.77006,22,Saturday,sunny,0,22.8
stall_106,western_food_stall,1.49112,103.67143,22,Sunday,cloudy,0,25.2
stall_193,fishball_noodle_stall,1.20611,103.66095,23,Sunday,cloudy,0,24.5
stall_14,chicken_rice_stall,1.48065,103.82842,22,Friday,rainy,0,15.0
stall_91,fried_hokkien_mee_stall,1.20744,103.89463,20,Friday,cloudy,0,19.4
stall_55,fried_hokkien_mee_stall,1.22176,103.78331,21,Saturday,rainy,0,29.6
stall_58,dessert_stall,1.27956,103.9733,20,Wednesday,cloudy,0,13.5
stall_95,beverage_stall,1.43621,103.64324,20,Sunday,rainy,0,14.9
stall_147,bakery,1.27476,103.93933,21,Sunday,rainy,0,22.7
stall_144,laksa_stall,1.23198,103.77006,20,Friday,cloudy,0,22.7
stall_178,dim_sum_stall,1.34022,103.65105,22,Monday,sunny,0,19.3
stall_70,dim_sum_stall,1.39027,103.70559,22,Wednesday,rainy,1,34.0
stall_2,bakery,1.36179,103.89197,21,Sunday,sunny,1,34.2
stall_145,chicken_rice_stall,1.25277,103.98319,23,Monday,sunny,0,26.3
stall_190,bakery,1.39504,103.91249,20,Monday,cloudy,0,16.4
stall_136,dessert_stall,1.25974,103.60977,21,Thursday,rainy,0,14.6
stall_117,laksa_stall,1.39927,103.73208,22,Tuesday,rainy,0,26.6
stall_80,fried_hokkien_mee_stall,1.45038,103.833,22,Sunday,cloudy,0,25.5
stall_153,bakery,1.44917,103.81915,20,Monday,sunny,0,16.8
stall_41,roti_prata_stall,1.21715,103.83367,20,Saturday,sunny,0,9.1
stall_70,dim_sum_stall,1.39027,103.70559,23,Saturday,rainy,1,34.0
stall_125,fishball_noodle_stall,1.29028,103.81917,23,Thursday,rainy,0,19.1
stall_56,dessert_stall,1.49954,103.99844,20,Wednesday,rainy,1,32.0
stall_29,dessert_stall,1.4907,103.97055,22,Saturday,cloudy,0,5.8
stall_152,beverage_stall,1.41578,103.80191,23,Friday,cloudy,0,11.9
stall_79,fried_hokkien_mee_stall,1.47118,103.81824,20,Tuesday,rainy,1,35.1
stall_154,economic_rice_stall,1.46916,103.89746,20,Monday,sunny,0,22.2
stall_78,economic_rice_stall,1.22257,103.95324,21,Sunday,sunny,0,28.6
stall_196,laksa_stall,1.40984,103.90676,22,Wednesday,rainy,0,33.4
stall_31,chicken_rice_stall,1.34569,103.6855,20,Thursday,cloudy,0,20.2
stall_111,dim_sum_stall,1.31556,103.83064,21,Tuesday,rainy,0,28.7
stall_137,bakery,1.27345,103.79005,21,Friday,cloudy,0,28.8
stall_172,fishball_noodle_stall,1.32571,103.89901,22,Monday,rainy,0,19.4
stall_190,bakery,1.39504,103.91249,20,Thursday,sunny,0,17.9
stall_118,economic_rice_stall,1.29417,103.93921,20,Sunday,rainy,0,32.1
stall_148,fried_hokkien_mee_stall,1.33694,103.92057,23,Friday,rainy,0,26.8
stall_182,economic_rice_stall,1.24071,103.78468,23,Wednesday,sunny,0,31.1
stall_104,dessert_stall,1.49434,103.81449,20,Wednesday,sunny,0,19.6
stall_159,economic_rice_stall,1.22325,103.71429,23,Sunday,cloudy,0,35.6
stall_93,western_food_stall,1.44067,103.94563,20,Thursday,sunny,1,23.4
stall_63,western_food_stall,1.39619,103.60313,23,Friday,rainy,0,30.8
stall_135,roti_prata_stall,1.40184,103.68986,20,Thursday,rainy,0,14.8
stall_191,laksa_stall,1.39553,103.90169,22,Tuesday,rainy,0,20.5
stall_200,dessert_stall,1.23243,103.61027,21,Monday,cloudy,0,16.6
stall_163,bakery,1.41193,103.62569,20,Friday,cloudy,0,11.8
stall_50,bakery,1.35683,103.97388,22,Wednesday,cloudy,0,10.7
stall_166,fried_hokkien_mee_stall,1.32604,103.96194,21,Tuesday,sunny,0,9.4
stall_38,beverage_stall,1.24644,103.71868,22,Tuesday,sunny,0,16.9
stall_155,roti_prata_stall,1.3424,103.70368,21,Sunday,cloudy,0,20.0
stall_20,dessert_stall,1.49525,103.63937,21,Sunday,cloudy,0,14.0
stall_127,dim_sum_stall,1.32897,103.83199,23,Sunday,cloudy,0,17.5
stall_195,dim_sum_stall,1.36919,103.68719,23,Saturday,cloudy,0,14.0
stall_165,economic_rice_stall,1.32473,103.68273,22,Sunday,cloudy,0,22.5
stall_81,bakery,1.24443,103.65098,21,Thursday,sunny,0,15.5
stall_121,dessert_stall,1.32072,103.71826,23,Saturday,rainy,0,15.3
stall_71,fried_hokkien_mee_stall,1.34656,103.96213,20,Wednesday,cloudy,0,12.4
stall_19,laksa_stall,1.41872,103.86935,22,Thursday,rainy,0,24.0
stall_10,laksa_stall,1.26868,103.96217,20,Wednesday,rainy,0,19.6
stall_20,dessert_stall,1.49525,103.63937,20,Friday,cloudy,0,17.9
stall_130,bakery,1.34196,103.96047,23,Thursday,cloudy,0,18.0
stall_142,laksa_stall,1.39682,103.60222,20,Thursday,cloudy,0,33.9
stall_167,laksa_stall,1.37522,103.87821,21,Wednesday,cloudy,0,14.4
stall_122,roti_prata_stall,1.23819,103.76818,21,Monday,rainy,0,24.4
stall_27,western_food_stall,1.3651,103.62024,22,Saturday,sunny,0,16.1
stall_130,bakery,1.34196,103.96047,21,Monday,sunny,0,8.4
stall_182,economic_rice_stall,1.24071,103.78468,23,Thursday,cloudy,0,25.3
stall_134,fried_hokkien_mee_stall,1.44553,103.90046,21,Wednesday,rainy,0,13.9
stall_73,fishball_noodle_stall,1.32707,103.71067,23,Thursday,rainy,1,32.0
stall_174,laksa_stall,1.26616,103.68777,20,Sunday,cloudy,1,31.7
stall_166,fried_hokkien_mee_stall,1.32604,103.96194,22,Monday,rainy,0,25.5
stall_25,laksa_stall,1.27494,103.96931,23,Wednesday,rainy,1,48.4
stall_186,dessert_stall,1.4256,103.93277,21,Wednesday,sunny,0,9.8
stall_150,economic_rice_stall,1.37864,103.98002,21,Wednesday,rainy,0,30.9
stall_168,dessert_stall,1.45702,103.90624,23,Tuesday,cloudy,0,14.5
stall_182,economic_rice_stall,1.24071,103.78468,20,Wednesday,cloudy,0,24.8
stall_97,western_food_stall,1.26673,103.92663,22,Sunday,sunny,0,18.8
stall_172,fishball_noodle_stall,1.32571,103.89901,20,Saturday,cloudy,0,18.5
stall_109,roti_prata_stall,1.41856,103.72547,22,Monday,rainy,0,25.5
stall_80,fried_hokkien_mee_stall,1.45038,103.833,21,Tuesday,rainy,0,14.0
stall_197,fishball_noodle_stall,1.25034,103.8429,23,Tuesday,sunny,1,27.7
stall_36,fishball_noodle_stall,1.4872,103.99817,21,Monday,rainy,1,40.6
stall_26,roti_prata_stall,1.33294,103.94454,20,Saturday,rainy,0,20.9
stall_197,fishball_noodle_stall,1.25034,103.8429,21,Friday,rainy,0,22.8
stall_40,bakery,1.36266,103.89919,21,Tuesday,cloudy,0,20.6
stall_198,economic_rice_stall,1.42438,103.64581,21,Saturday,rainy,0,35.5
stall_12,dessert_stall,1.2714,103.86759,23,Wednesday,cloudy,0,2.8
stall_185,western_food_stall,1.42837,103.75165,21,Thursday,cloudy,0,28.6
stall_73,fishball_noodle_stall,1.32707,103.71067,23,Tuesday,cloudy,0,21.2
stall_62,fried_hokkien_mee_stall,1.3835,103.99489,22,Sunday,rainy,0,29.7
stall_50,bakery,1.35683,103.97388,22,Saturday,cloudy,0,9.9
stall_113,economic_rice_stall,1.20051,103.97023,23,Sunday,rainy,0,40.0
stall_200,dessert_stall,1.23243,103.61027,23,Friday,cloudy,0,16.4
stall_108,dim_sum_stall,1.23252,103.77383,21,Sunday,sunny,0,9.9
stall_155,roti_prata_stall,1.3424,103.70368,21,Sunday,rainy,0,19.4
stall_14,chicken_rice_stall,1.48065,103.82842,23,Sunday,rainy,0,25.0
stall_142,laksa_stall,1.39682,103.60222,20,Saturday,cloudy,0,16.7
stall_32,fishball_noodle_stall,1.32031,103.62345,22,Monday,sunny,0,13.8
stall_70,dim_sum_stall,1.39027,103.70559,23,Friday,sunny,0,24.0
stall_112,fishball_noodle_stall,1.27642,103.88351,20,Tuesday,rainy,0,17.4
stall_90,economic_rice_stall,1.44323,103.95257,20,Thursday,sunny,0,21.1
stall_102,bakery,1.49007,103.71165,22,Tuesday,rainy,0,26.2
stall_21,chicken_rice_stall,1.32079,103.73572,22,Tuesday,sunny,0,19.0
stall_82,dessert_stall,1.29248,103.95959,20,Sunday,cloudy,0,17.0
stall_167,laksa_stall,1.37522,103.87821,22,Sunday,sunny,0,29.1
stall_36,fishball_noodle_stall,1.4872,103.99817,20,Wednesday,rainy,0,26.1
stall_179,chicken_rice_stall,1.38668,103.61079,21,Sunday,cloudy,1,24.8
stall_121,dessert_stall,1.32072,103.71826,23,Friday,sunny,1,35.7
stall_21,chicken_rice_stall,1.32079,103.73572,20,Wednesday,sunny,0,15.3
stall_39,bakery,1.49061,103.83167,23,Monday,rainy,0,19.7
stall_61,chicken_rice_stall,1.45012,103.88142,22,Monday,sunny,1,18.0
stall_62,fried_hokkien_mee_stall,1.3835,103.99489,23,Saturday,cloudy,0,12.0
stall_118,economic_rice_stall,1.29417,103.93921,20,Monday,rainy,0,33.3
stall_153,bakery,1.44917,103.81915,20,Saturday,cloudy,0,18.7
stall_148,fried_hokkien_mee_stall,1.33694,103.92057,21,Saturday,sunny,0,28.5
stall_75,beverage_stall,1.39113,103.70478,23,Monday,cloudy,0,5.9
stall_91,fried_hokkien_mee_stall,1.20744,103.89463,21,Friday,rainy,1,31.5
stall_48,dim_sum_stall,1.37836,103.84775,20,Friday,rainy,0,25.3
stall_18,western_food_stall,1.32707,103.78681,20,Thursday,rainy,0,30.1
stall_12,dessert_stall,1.2714,103.86759,23,Wednesday,rainy,0,19.7
stall_192,fishball_noodle_stall,1.48488,103.67974,20,Wednesday,sunny,0,15.7
stall_89,roti_prata_stall,1.45938,103.99048,21,Saturday,cloudy,0,16.6
stall_161,fishball_noodle_stall,1.36205,103.65535,20,Sunday,cloudy,0,22.1
stall_189,dim_sum_stall,1.49997,103.73998,22,Tuesday,sunny,0,17.9
stall_91,fried_hokkien_mee_stall,1.20744,103.89463,22,Sunday,cloudy,1,21.4
stall_45,dessert_stall,1.37851,103.87009,23,Saturday,rainy,0,18.1
stall_162,laksa_stall,1.26938,103.87758,21,Sunday,sunny,0,24.2
stall_17,western_food_stall,1.22908,103.77242,23,Monday,rainy,0,25.0
stall_52,bakery,1.27161,103.75831,20,Sunday,sunny,0,10.4
stall_11,bakery,1.45789,103.62834,22,Wednesday,cloudy,0,12.7
stall_102,bakery,1.49007,103.71165,23,Wednesday,sunny,0,16.5
stall_193,fishball_noodle_stall,1.20611,103.66095,21,Wednesday,rainy,0,31.2
stall_200,dessert_stall,1.23243,103.61027,20,Sunday,cloudy,0,17.4
stall_85,laksa_stall,1.27486,103.64112,22,Monday,rainy,0,20.2
stall_112,fishball_noodle_stall,1.27642,103.88351,23,Saturday,rainy,0,24.5
stall_99,beverage_stall,1.4386,103.69104,22,Tuesday,rainy,0,18.1
stall_178,dim_sum_stall,1.34022,103.65105,23,Wednesday,cloudy,0,17.1
stall_69,economic_rice_stall,1.41528,103.68144,20,Saturday,rainy,0,25.1
stall_21,chicken_rice_stall,1.32079,103.73572,23,Friday,sunny,1,25.1
stall_140,dessert_stall,1.25833,103.87854,22,Wednesday,sunny,0,16.8
stall_21,chicken_rice_stall,1.32079,103.73572,22,Saturday,rainy,0,23.1
stall_79,fried_hokkien_mee_stall,1.47118,103.81824,23,Friday,cloudy,0,32.1
stall_110,fried_hokkien_mee_stall,1.38186,103.80457,21,Saturday,rainy,0,25.5
stall_90,economic_rice_stall,1.44323,103.95257,23,Monday,cloudy,1,33.8
stall_91,fried_hokkien_mee_stall,1.20744,103.89463,23,Wednesday,cloudy,0,19.0
stall_15,chicken_rice_stall,1.3418,103.91385,20,Saturday,cloudy,0,31.4
stall_104,dessert_stall,1.49434,103.81449,22,Friday,cloudy,0,18.3
stall_174,laksa_stall,1.26616,103.68777,21,Monday,sunny,0,13.0
stall_156,fishball_noodle_stall,1.27417,103.85506,23,Monday,sunny,1,15.2
stall_18,western_food_stall,1.32707,103.78681,21,Sunday,cloudy,0,23.7
stall_94,fried_hokkien_mee_stall,1.44322,103.70672,22,Thursday,cloudy,0,14.1
stall_9,fried_hokkien_mee_stall,1.2213,103.85244,21,Saturday,rainy,0,29.9
stall_95,beverage_stall,1.43621,103.64324,22,Thursday,sunny,0,7.6
stall_147,bakery,1.27476,103.93933,21,Friday,rainy,0,20.9
stall_102,bakery,1.49007,103.71165,22,Saturday,rainy,0,17.3
stall_64,economic_rice_stall,1.44513,103.71975,20,Monday,cloudy,0,23.6
stall_48,dim_sum_stall,1.37836,103.84775,23,Friday,rainy,0,28.3
stall_144,laksa_stall,1.23198,103.77006,20,Wednesday,rainy,0,16.4
stall_181,beverage_stall,1.20813,103.8571,23,Tuesday,cloudy,0,15.1
stall_74,beverage_stall,1.20106,103.90845,23,Tuesday,sunny,0,0.5
stall_35,economic_rice_stall,1.3365,103.7692,20,Thursday,sunny,0,27.8
stall_183,western_food_stall,1.21509,103.75164,23,Monday,cloudy,0,30.5
stall_82,dessert_stall,1.29248,103.95959,22,Saturday,sunny,0,17.0
stall_141,dim_sum_stall,1.34831,103.69759,22,Wednesday,sunny,0,16.0
stall_183,western_food_stall,1.21509,103.75164,21,Sunday,rainy,0,32.5
stall_131,fishball_noodle_stall,1.43881,103.66788,21,Monday,sunny,0,21.4
stall_36,fishball_noodle_stall,1.4872,103.99817,21,Sunday,rainy,0,21.7
stall_7,fishball_noodle_stall,1.30143,103.83532,22,Friday,cloudy,1,35.4
stall_95,beverage_stall,1.43621,103.64324,23,Sunday,cloudy,0,13.7
stall_34,beverage_stall,1.27956,103.91363,20,Monday,rainy,0,9.0
stall_102,bakery,1.49007,103.71165,23,Friday,rainy,0,20.1
stall_197,fishball_noodle_stall,1.25034,103.8429,23,Sunday,cloudy,0,19.0
stall_19,laksa_stall,1.41872,103.86935,21,Wednesday,cloudy,0,27.6
stall_19,laksa_stall,1.41872,103.86935,23,Thursday,cloudy,0,24.9
stall_133,fishball_noodle_stall,1.38988,103.73408,22,Tuesday,cloudy,0,22.5
stall_164,fried_hokkien_mee_stall,1.32228,103.81704,21,Sunday,sunny,1,31.7
stall_111,dim_sum_stall,1.31556,103.83064,20,Sunday,sunny,0,27.8
stall_133,fishball_noodle_stall,1.38988,103.73408,21,Wednesday,sunny,0,5.1
stall_42,bakery,1.35086,103.94109,22,Saturday,sunny,0,9.3
stall_89,roti_prata_stall,1.45938,103.99048,22,Sunday,sunny,0,4.9
stall_65,bakery,1.39902,103.97557,21,Saturday,cloudy,0,15.3
stall_71,fried_hokkien_mee_stall,1.34656,103.96213,21,Saturday,rainy,0,21.0
stall_158,chicken_rice_stall,1.38802,103.70984,20,Friday,cloudy,1,34.5
stall_44,beverage_stall,1.22403,103.67433,21,Tuesday,cloudy,1,30.2
stall_160,laksa_stall,1.28151,103.72788,22,Sunday,cloudy,0,21.8
stall_11,bakery,1.45789,103.62834,20,Monday,sunny,0,4.3
stall_165,economic_rice_stall,1.32473,103.68273,22,Saturday,sunny,0,22.8
stall_197,fishball_noodle_stall,1.25034,103.8429,23,Friday,cloudy,0,17.2
stall_8,bakery,1.26903,103.68809,23,Saturday,cloudy,1,31.0
stall_75,beverage_stall,1.39113,103.70478,22,Thursday,sunny,0,7.9
stall_176,dessert_stall,1.30084,103.87166,23,Wednesday,rainy,0,18.0
stall_19,laksa_stall,1.41872,103.86935,20,Tuesday,rainy,0,21.1
stall_107,fried_hokkien_mee_stall,1.48876,103.70619,23,Thursday,sunny,0,13.1
stall_88,dim_sum_stall,1.24637,103.97195,21,Wednesday,cloudy,0,24.9
stall_82,dessert_stall,1.29248,103.95959,22,Thursday,sunny,0,9.5
stall_195,dim_sum_stall,1.36919,103.68719,22,Friday,cloudy,0,22.5
stall_28,dim_sum_stall,1.49978,103.93441,22,Tuesday,rainy,0,22.8
stall_32,fishball_noodle_stall,1.32031,103.62345,22,Thursday,sunny,0,0.0
stall_37,western_food_stall,1.36673,103.88736,20,Monday,rainy,0,29.7
stall_99,beverage_stall,1.4386,103.69104,23,Tuesday,sunny,0,0.0
stall_84,fishball_noodle_stall,1.46968,103.68403,22,Tuesday,sunny,0,22.2
stall_128,bakery,1.39641,103.786,23,Thursday,rainy,0,23.4
stall_128,bakery,1.39641,103.786,20,Monday,rainy,0,27.6
stall_130,bakery,1.34196,103.96047,23,Tuesday,sunny,0,9.8
stall_150,economic_rice_stall,1.37864,103.98002,22,Monday,sunny,0,26.5
stall_73,fishball_noodle_stall,1.32707,103.71067,23,Friday,cloudy,0,17.6
stall_173,laksa_stall,1.36384,103.8413,23,Wednesday,cloudy,0,22.7
stall_3,chicken_rice_stall,1.26035,103.72469,20,Thursday,sunny,0,18.1
stall_68,roti_prata_stall,1.2817,103.84193,22,Sunday,rainy,1,24.7
stall_94,fried_hokkien_mee_stall,1.44322,103.70672,20,Thursday,sunny,0,24.9
stall_146,fried_hokkien_mee_stall,1.35539,103.62009,21,Wednesday,cloudy,0,24.4
stall_74,beverage_stall,1.20106,103.90845,20,Thursday,cloudy,1,23.1
stall_116,laksa_stall,1.30927,103.62799,22,Sunday,cloudy,1,28.2
stall_175,chicken_rice_stall,1.33075,103.61161,20,Tuesday,sunny,0,15.5
stall_101,economic_rice_stall,1.29848,103.94574,22,Sunday,rainy,0,38.0
stall_143,economic_rice_stall,1.42529,103.90802,22,Sunday,sunny,0,27.7
